case_id,cve_id,artifact,baseline_version,target_version,status,failure_kind,failure_subtype,scenario_type,vulnerability_presence_score,final_failure_reason,vulnerability_presence_verdict,judgment_confidence
CVE-2022-42003__02__2.4.0-rc1__2.3.3,CVE-2022-42003,com.fasterxml.jackson.core:jackson-databind,2.4.0-rc1,2.3.3,execution_failure,process_failure,missing_method,process_failure,63,undetermined,unknown,low
CVE-2022-42004__02__2.4.0-rc1__2.3.3,CVE-2022-42004,com.fasterxml.jackson.core:jackson-databind,2.4.0-rc1,2.3.3,execution_failure,process_failure,missing_method,process_failure,50,undetermined,unknown,low
CVE-2022-42889__00__1.8__1.7,CVE-2022-42889,org.apache.commons:commons-text,1.8,1.7,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,high
CVE-2022-45693__00__1.3.1__1.3,CVE-2022-45693,org.codehaus.jettison:jettison,1.3.1,1.3,trace_diff,,trace_difference,trace_diff,10,vulnerability_not_present,no,high
CVE-2023-1370__00__1.0.8__1.0.6.3,CVE-2023-1370,net.minidev:json-smart,1.0.8,1.0.6.3,trace_diff,,trace_difference,trace_diff,51,undetermined,unknown,low
CVE-2023-1370__02__2.4.6__2.4.5,CVE-2023-1370,net.minidev:json-smart,2.4.6,2.4.5,execution_failure,dependency_resolution_failure,dependency_resolution_failure,dependency_resolution_failure,50,undetermined,unknown,low
CVE-2023-1370__05__2.5.0__2.4.11,CVE-2023-1370,net.minidev:json-smart,2.5.0,2.4.11,trace_diff,,trace_difference,trace_diff,18,vulnerability_not_present,no,medium
CVE-2023-1436__00__1.3.1__1.3,CVE-2023-1436,org.codehaus.jettison:jettison,1.3.1,1.3,trace_diff,,trace_difference,trace_diff,44,vulnerability_not_present,no,low
CVE-2023-24163__01__5.5.0__5.4.7,CVE-2023-24163,cn.hutool:hutool-all,5.5.0,5.4.7,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,high
CVE-2023-34453__00__1.1.3-M2__1.1.3-M1,CVE-2023-34453,org.xerial.snappy:snappy-java,1.1.3-M2,1.1.3-M1,trace_diff,,trace_difference,trace_diff,10,vulnerability_not_present,no,high
CVE-2023-34454__00__1.0.1-rc4__1.0.1-rc2,CVE-2023-34454,org.xerial.snappy:snappy-java,1.0.1-rc4,1.0.1-rc2,trace_diff,,trace_difference,trace_diff,10,vulnerability_not_present,no,high
CVE-2023-34624__00__2.4__2.2.1,CVE-2023-34624,net.sourceforge.htmlcleaner:htmlcleaner,2.4,2.2.1,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2023-41034__01__1.1.0__1.0.2,CVE-2023-41034,org.eclipse.leshan:leshan-core,1.1.0,1.0.2,trace_diff,,trace_difference,trace_diff,49,undetermined,unknown,low
CVE-2023-42503__00__1.22__1.21,CVE-2023-42503,org.apache.commons:commons-compress,1.22,1.21,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2023-49250__01__2.0.0-alpha__1.3.9,CVE-2023-49250,org.apache.dolphinscheduler:dolphinscheduler-common,2.0.0-alpha,1.3.9,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2023-5072__00__20171018__20170516,CVE-2023-5072,org.json:json,20171018,20170516,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,high
CVE-2023-51074__00__2.2.0__2.1.0,CVE-2023-51074,com.jayway.jsonpath:json-path,2.2.0,2.1.0,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2023-51075__00__5.7.20__5.7.19,CVE-2023-51075,cn.hutool:hutool-core,5.7.20,5.7.19,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2023-51075__02__5.8.18__5.8.17,CVE-2023-51075,cn.hutool:hutool-core,5.8.18,5.8.17,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,low
CVE-2023-51080__00__5.8.22__5.8.21,CVE-2023-51080,cn.hutool:hutool-core,5.8.22,5.8.21,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2023-52428__01__9.9.2__9.9.1,CVE-2023-52428,com.nimbusds:nimbus-jose-jwt,9.9.2,9.9.1,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2023-52428__03__4.0-rc1__3.10,CVE-2023-52428,com.nimbusds:nimbus-jose-jwt,4.0-rc1,3.10,trace_diff,,trace_difference,trace_diff,68,undetermined,unknown,low
CVE-2024-1597__00__9.4.1210__9.4.1209.jre6,CVE-2024-1597,org.postgresql:postgresql,9.4.1210,9.4.1209.jre6,execution_failure,runtime_failure,missing_method,runtime_failure,59,undetermined,unknown,low
CVE-2024-1597__01__9.4.1210.jre6__9.4.1209.jre7,CVE-2024-1597,org.postgresql:postgresql,9.4.1210.jre6,9.4.1209.jre7,execution_failure,runtime_failure,missing_method,runtime_failure,59,undetermined,unknown,low
CVE-2024-1597__03__42.2.22.jre7__42.2.22.jre6,CVE-2024-1597,org.postgresql:postgresql,42.2.22.jre7,42.2.22.jre6,execution_failure,runtime_failure,missing_method,runtime_failure,50,undetermined,unknown,medium
CVE-2024-1597__06__42.2.16__42.2.15.jre6,CVE-2024-1597,org.postgresql:postgresql,42.2.16,42.2.15.jre6,execution_failure,runtime_failure,missing_method,runtime_failure,78,undetermined,unknown,low
CVE-2024-23635__00__1.4.3__1.4.2,CVE-2024-23635,org.owasp.antisamy:antisamy,1.4.3,1.4.2,execution_failure,dependency_resolution_failure,dependency_resolution_failure,dependency_resolution_failure,50,undetermined,unknown,medium
CVE-2024-23635__01__1.5.1__1.5,CVE-2024-23635,org.owasp.antisamy:antisamy,1.5.1,1.5,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,medium
CVE-2024-25710__00__1.3__1.2,CVE-2024-25710,org.apache.commons:commons-compress,1.3,1.2,trace_diff,,trace_difference,trace_diff,10,vulnerability_not_present,no,high
CVE-2024-31860__00__0.9.0-preview1__0.8.2,CVE-2024-31860,org.apache.zeppelin:zeppelin-server,0.9.0-preview1,0.8.2,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
